WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
3463344.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;77.7500;77 3/4;25;81.0000;81;68-3412-40     ;3.5X16 BRUSSELS WHITE -1;78.0000;78;68-3412-40     ;3.5X16 BRUSSELS WHITE -1
3463365.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;75.7500;75 3/4;25;85.9375;85 15/16;02484-01       ;3.5 BRGHTN TUNDRA BULK;76.0000;76;02484-01       ;3.5 BRGHTN TUNDRA BULK
3463366.001;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;69.5000;69 1/2;23;95.9375;95 15/16;02484-22       ;3.5 BRGHTN BONE BULK;69.7500;69 3/4;02484-22       ;3.5 BRGHTN BONE BULK
3463434.001;03/02/2020;12/31/1899;SMTMVT         ;W;R;R;;;;0;.;;68-3474-40     ;'3.5" X 16'' DUNE TOASTY GREY -3';;;;
3463463.001;03/02/2020;12/31/1899;BVT15          ;B;R;R;G85  ;72.7500;72 3/4;24;82.5000;82 1/2;68-3412-40     ;3.5X16 BRUSSELS WHITE -1;73.0000;73;68-3412-40     ;3.5X16 BRUSSELS WHITE -1
3463496.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;77.7500;77 3/4;25;85.9375;85 15/16;02672-12       ;3.5 GRASSES HARDWOOD;78.0000;78;02672-12       ;3.5 GRASSES HARDWOOD
3463497.001;03/02/2020;12/31/1899;SMTMVT         ;W;R;R;;;;0;.;;68-3056-40     ;'3.5 X 16'' .024 CROWN WHITE -1';;;;
3463539.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;77.7500;77 3/4;25;82.5000;82 1/2;68-3895-40     ;3.5X16 CR WNDW WEAVES HEATH -2;78.0000;78;68-3895-40     ;3.5X16 CR WNDW WEAVES HEATH -2
3463563.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;74.7500;74 3/4;24;81.9375;81 15/16;02671-65       ;3.5" THATCH COFFEE;75.0000;75;02671-65       ;3.5" THATCH COFFEE
3463565.001;03/02/2020;12/31/1899;GVT15          ;B;L;L;G71  ;66.8750;66 7/8;22;86.9375;86 15/16;02549-70       ;3.5" COMPASS TRUE WEST;;;;
3463565.002;03/02/2020;12/31/1899;GVT15          ;B;R;S;G71  ;42.8750;42 7/8;14;91.9375;91 15/16;02549-70       ;3.5" COMPASS TRUE WEST;;;;
3463625.002;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;93.7500;93 3/4;30;59.4375;59 7/16;02484-05       ;3.5 BRGHTN BARK BULK;94.0000;94;02484-05       ;3.5 BRGHTN BARK BULK
3463666.002;03/02/2020;12/31/1899;BVT15          ;B;L;L;G85  ;70.2500;70 1/4;23;78.3750;78 3/8;68-3770-40     ;3.5X16 CR LKFRST CLYPSO WHEAT4;70.5000;70 1/2;68-3770-40     ;3.5X16 CR LKFRST CLYPSO WHEAT4
3463672.002;03/02/2020;12/31/1899;GVT15          ;B;L;L;G71  ;76.8750;76 7/8;25;77.5000;77 1/2;68-6655-40     ;3.5X16 EMB CACHET SILVR DOLLR4;77.0000;77;68-6655-40     ;3.5X16 EMB CACHET SILVR DOLLR4
3463688.003;03/02/2020;12/31/1899;BVT15          ;W;L;L;G85  ;75.2500;75 1/4;24;81.5000;81 1/2;68-6699-40     ;'3.5"X16''GRGTOWN-S NTONL MALL-4';75.5000;75 1/2;68-6499-40     ;'3.5"X16''CRWN GRGTOWN NANLMLL-4'
3463708.004;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;82.7500;82 3/4;27;82.5000;82 1/2;68-3330-41     ;3.5X82.5 LTHS S WHT -2;83.0000;83;68-3980-40     ;3.5X16 CRWN LTHS WHITE -2
3463712.005;03/02/2020;12/31/1899;BVT15          ;B;L;L;G98  ;137.6875;137 11/16;45;91.6250;91 5/8;68-9021-40     ;3.5X16 CR STOWE RESORT -2;138.2500;138 1/4;68-9021-40     ;3.5X16 CR STOWE RESORT -2
3463719.002;03/02/2020;12/31/1899;BVT15LVR       ;;; ;G98  ;;;29;58.8125;58 13/16;02550-70       ;3.5" PRESCOTT MIRAGE;;;;
3463735.013;03/02/2020;12/31/1899;BVT15          ;B;R;S;G98  ;150.9375;150 15/16;50;84.4375;84 7/16;02434-10       ;3.5" CROSSWEAVE BEECHWOOD;151.5000;151 1/2;02434-10       ;3.5" CROSSWEAVE BEECHWOOD
3463747.007;03/02/2020;12/31/1899;BVT15          ;B;L;L;G98  ;76.4375;76 7/16;25;80.9375;80 15/16;02434-10       ;3.5" CROSSWEAVE BEECHWOOD;77.0000;77;02434-10       ;3.5" CROSSWEAVE BEECHWOOD
3463778.003;03/02/2020;12/31/1899;BVT15          ;B;L;L;G85  ;77.7500;77 3/4;25;83.0000;83;68-3416-40     ;3.5X16 CR BRUSSELS MASONARY -2;78.0000;78;68-3416-40     ;3.5X16 CR BRUSSELS MASONARY -2
3463830.001;03/02/2020;12/31/1899;SSVT15         ;W;L;L;G98  ;22.4375;22 7/16;8;47.9375;47 15/16;02553-33       ;3.5" HARMONY GLACIAL;22.6250;22 5/8;02553-33       ;3.5" HARMONY GLACIAL
3463830.002;03/02/2020;12/31/1899;SSVT15         ;W;L;L;G98  ;106.4375;106 7/16;35;23.8125;23 13/16;02553-33       ;3.5" HARMONY GLACIAL;106.6250;106 5/8;02553-33       ;3.5" HARMONY GLACIAL
3463830.003;03/02/2020;12/31/1899;SSVT15         ;W;L;L;G98  ;34.1875;34 3/16;11;59.8125;59 13/16;02553-33       ;3.5" HARMONY GLACIAL;34.3750;34 3/8;02553-33       ;3.5" HARMONY GLACIAL
3463830.004;03/02/2020;12/31/1899;SSVT15         ;W;R;R;G98  ;67.3125;67 5/16;22;59.6875;59 11/16;02553-33       ;3.5" HARMONY GLACIAL;67.5000;67 1/2;02553-33       ;3.5" HARMONY GLACIAL
3463830.005;03/02/2020;12/31/1899;SSVT15         ;W;R;R;G98  ;32.8125;32 13/16;11;88.4375;88 7/16;02553-33       ;3.5" HARMONY GLACIAL;33.0000;33;02553-33       ;3.5" HARMONY GLACIAL
3463830.006;03/02/2020;12/31/1899;SSVT15         ;W;R;R;G98  ;91.5625;91 9/16;30;88.4375;88 7/16;02553-33       ;3.5" HARMONY GLACIAL;91.7500;91 3/4;02553-33       ;3.5" HARMONY GLACIAL
3463830.007;03/02/2020;12/31/1899;SSVT15         ;W;L;L;G98  ;104.4375;104 7/16;34;95.6875;95 11/16;02553-33       ;3.5" HARMONY GLACIAL;104.6250;104 5/8;02553-33       ;3.5" HARMONY GLACIAL
3463830.008;03/02/2020;12/31/1899;SSVT15         ;W;L;L;G98  ;22.3125;22 5/16;8;77.5625;77 9/16;02553-33       ;3.5" HARMONY GLACIAL;22.5000;22 1/2;02553-33       ;3.5" HARMONY GLACIAL
3463845.001;03/02/2020;12/31/1899;BVT15LVR       ;;; ;G98  ;;;20;108.0000;108;68-9306-40     ;3.5X16CR DPLX WHT -2;;;;
3463854.001;03/02/2020;12/31/1899;BVT15          ;B;R;R;G85  ;79.5000;79 1/2;26;96.8750;96 7/8;68-3418-40     ;3.5X16 CR BRUSSELS SPROUT -2;79.7500;79 3/4;68-3418-40     ;3.5X16 CR BRUSSELS SPROUT -2
3463859.001;03/02/2020;12/31/1899;GVT15          ;B;L;L;G71  ;82.8750;82 7/8;27;82.0000;82;68-9303-41     ;3.5X82.5CR DPLX ALAB -2;;;;
3463865.001;03/02/2020;12/31/1899;GVT15VAL       ;; ;;;;;0;;;;;40.5000;40 1/2;68-9306-41     ;3.5X82.5CR DPLX WHT -2
3463871.001;03/02/2020;12/31/1899;BVT15          ;B;R;R;G98  ;95.4375;95 7/16;31;80.0000;80;68-3330-41     ;3.5X82.5 LTHS S WHT -2;;;;
3463871.002;03/02/2020;12/31/1899;BVT15          ;B;L;S;G98  ;34.9375;34 15/16;12;75.0000;75;68-3330-41     ;3.5X82.5 LTHS S WHT -2;35.5000;35 1/2;68-3980-40     ;3.5X16 CRWN LTHS WHITE -2
3463874.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G85  ;63.7500;63 3/4;21;85.9375;85 15/16;02672-10       ;3.5 GRASSES MAPLE;64.0000;64;02672-10       ;3.5 GRASSES MAPLE
3463889.001;03/02/2020;03/02/2020;BVT15          ;W;R;R;G98  ;83.8125;83 13/16;27;85.6875;85 11/16;02550-70       ;3.5" PRESCOTT MIRAGE;84.0000;84;02550-70       ;3.5" PRESCOTT MIRAGE
3463890.001;03/02/2020;03/02/2020;BVT15          ;B;L;S;G98  ;38.9375;38 15/16;14;42.8125;42 13/16;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF;39.5000;39 1/2;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF
3463890.002;03/02/2020;03/02/2020;BVT15          ;B;R;S;G98  ;39.9375;39 15/16;14;63.4375;63 7/16;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF;40.5000;40 1/2;02434-13       ;3.5" CROSSWEAVE THATCHED ROOF
3463928.001;03/02/2020;12/31/1899;BVT15LVR       ;;;R;G85  ;;;25;78.2500;78 1/4;68-9681-40     ;3.5X16HOMESPUN II S IVORY -3;;;;
3463931.001;03/02/2020;12/31/1899;BVT15          ;W;R;R;G98  ;47.5625;47 9/16;16;59.8750;59 7/8;68-3417-40     ;3.5X16 CR BRUSSELS CANAL  -2;47.7500;47 3/4;68-3417-40     ;3.5X16 CR BRUSSELS CANAL  -2
